"Country Code","PctChecked"
"AE",0.67
"AF",0.25
"AL",1
"AO",0.5
"AR",0.59
"AT",0.78
"AU",0.53
"BD",0.2
"BE",0.59
"BG",0.56
"BH",1
"BI",0.67
"BO",0.5
"BR",0.37
"BS",1
"BW",0.33
"CA",0.47
"CD",0.53
"CF",0.67
"CH",0.5
"CL",0.6
"CM",0.43
"CO",0.41
"CR",0.25
"CZ",0.51
"DE",0.6
"DK",0.41
"DO",0.4
"EC",0.8
"EE",1
"EG",0.5
"ES",0.71
"ET",0.5
"FI",0.45
"FR",0.42
"GB",0.59
"GE",1
"GH",0.53
"GN",1
"GR",0.33
"GT",0.5
"HK",0.58
"HN",0.43
"HT",0.33
"HU",0.62
"ID",0.34
"IE",0.56
"IN",0.47
"IQ",0.5
"IT",0.7
"JP",0.67
"KE",0.59
"KH",0.67
"KR",0.45
"LB",1
"LK",0.63
"LR",0.67
"LT",0.6
"LU",0.5
"LV",0.5
"MD",0.54
"MM",0.33
"MN",1
"MQ",1
"MU",1
"MW",0.25
"MX",0.52
"MY",0.42
"MZ",0.5
"NA",0.5
"NG",0.45
"NI",1
"NL",0.56
"NP",0.4
"NZ",0.56
"PA",1
"PE",0.38
"PH",0.32
"PK",0.33
"PL",0.54
"PR",0.33
"PT",0.62
"RO",0.58
"RS",0.5
"RW",0.5
"SA",0.45
"SD",1
"SE",0.62
"SG",0.61
"SI",0.76
"SL",0.54
"SO",0.5
"SR",1
"SV",0.5
"TG",0.25
"TH",0.56
"TJ",0.33
"TR",0.42
"TT",1
"TW",0.57
"TZ",0.54
"UA",0.49
"UG",0.53
"US",0.42
"UY",1
"VE",0.5
"VI",1
"VN",0.2
"YE",0.6
"ZA",0.52
"ZM",0.22
"ZW",0.17
"Total",0.5
,
"Applied filters:
 Qnum is 15
 ResponseOptions is Lack of digital skills
 Status is Complete",
