"Country Code","PctExpensiveAndCantAfford"
"AD",1
"AE",0.67
"AF",1
"AL",1
"AO",1
"AR",0.86
"AT",0.89
"AU",0.8
"BD",1
"BE",0.82
"BG",0.81
"BI",1
"BJ",1
"BO",0.83
"BR",0.95
"BW",1
"CA",0.8
"CD",0.71
"CF",1
"CG",1
"CH",0.9
"CI",1
"CL",0.85
"CM",0.93
"CN",0.75
"CO",0.86
"CR",0.75
"CZ",0.83
"DE",0.77
"DJ",1
"DK",0.65
"DO",1
"DZ",0.33
"EC",0.7
"EE",1
"EG",0.83
"ES",0.88
"ET",1
"FI",0.55
"FR",1
"GA",1
"GB",0.87
"GH",0.81
"GN",0.75
"GR",1
"GT",0.9
"HK",0.74
"HN",1
"HR",1
"HT",0.67
"HU",0.92
"ID",0.65
"IE",0.87
"IN",0.8
"IQ",0.5
"IT",0.65
"JO",0.5
"JP",0.77
"KE",0.97
"KG",0.5
"KH",1
"KR",0.84
"KZ",0.75
"LB",1
"LK",1
"LR",0.78
"LT",0.6
"LU",0.83
"LV",0.75
"LY",1
"MD",0.92
"ML",1
"MM",0.83
"MN",1
"MQ",1
"MT",1
"MU",1
"MW",1
"MX",0.91
"MY",0.91
"MZ",1
"NA",1
"NE",0.5
"NG",0.91
"NI",1
"NL",0.71
"NP",0.8
"NZ",0.83
"PA",1
"PE",1
"PH",0.85
"PK",0.83
"PL",0.88
"PR",1
"PS",1
"PT",0.89
"PY",1
"RO",0.87
"RS",1
"RW",0.75
"SA",0.64
"SE",0.56
"SG",0.87
"SI",0.85
"SK",1
"SL",0.85
"SN",1
"SO",1
"SR",1
"ST",1
"SV",1
"SY",1
"SZ",1
"TG",1
"TH",0.83
"TJ",1
"TR",0.92
"TW",0.8
"TZ",0.96
"UA",0.81
"UG",0.97
"US",0.82
"UY",1
"VE",0.83
"VI",1
"VN",0.4
"YE",0.8
"ZA",0.94
"ZM",1
"ZW",0.83
"Total",0.81
,
"Applied filters:
Qnum is 24
ResponseOptions is Software (ex  Microsoft Teams, Asana, Slack, 1Password, Salesforce)
Status is Complete",
