"Country Code","PctStronglyAgree"
"CG",1
"MQ",1
"PY",1
"SK",1
"CR",0.75
"SN",0.67
"EE",0.5
"ML",0.5
"MU",0.5
"MW",0.5
"NE",0.5
"SV",0.5
"TG",0.5
"DO",0.4
"NG",0.38
"LK",0.38
"AE",0.33
"AL",0.33
"BI",0.33
"BO",0.33
"EG",0.33
"GR",0.33
"PR",0.33
"SZ",0.33
"TJ",0.33
"VE",0.33
"SA",0.31
"SL",0.31
"CH",0.3
"GT",0.3
"ID",0.27
"CN",0.25
"ET",0.25
"GN",0.25
"IQ",0.25
"LV",0.25
"PE",0.25
"RW",0.25
"DK",0.24
"ES",0.23
"AR",0.23
"AT",0.22
"LR",0.22
"ZM",0.22
"KE",0.22
"IN",0.21
"TZ",0.21
"LT",0.2
"UG",0.2
"ZA",0.19
"PH",0.19
"SG",0.19
"CL",0.18
"FI",0.18
"AU",0.18
"CD",0.18
"TR",0.18
"CO",0.17
"BR",0.17
"MM",0.17
"BG",0.16
"US",0.16
"GB",0.15
"IT",0.15
"MX",0.15
"RO",0.15
"CM",0.14
"HN",0.14
"IE",0.14
"CA",0.14
"GH",0.14
"PT",0.13
"SI",0.12
"DE",0.12
"HU",0.11
"UA",0.11
"BE",0.11
"HK",0.11
"EC",0.1
"TW",0.09
"MY",0.09
"SE",0.09
"NZ",0.09
"PL",0.09
"FR",0.08
"PK",0.08
"CZ",0.08
"JP",0.07
"KR",0.06
"TH",0.06
"NL",0.04
"Total",0.15
,
"Applied filters:
 Qnum is 28
 ResponseOptions is Your organization has a strategy to adopt and use digital tools to best support your mission
 Status is Complete",
