"Country Code","PctStronglyAgree"
"CG",1
"ML",1
"SK",1
"TT",1
"PR",0.67
"EE",0.5
"LK",0.38
"AE",0.33
"DZ",0.33
"EG",0.33
"PY",0.33
"SN",0.33
"SA",0.29
"BG",0.27
"CN",0.25
"CR",0.25
"GN",0.25
"KZ",0.25
"LV",0.25
"PE",0.25
"SV",0.25
"CO",0.22
"RO",0.22
"ID",0.22
"SI",0.21
"LT",0.2
"FI",0.18
"DK",0.18
"SE",0.18
"BO",0.17
"GR",0.17
"MM",0.17
"TJ",0.17
"UA",0.15
"MD",0.15
"NG",0.15
"HU",0.15
"AR",0.14
"TR",0.14
"IN",0.13
"US",0.13
"TZ",0.13
"MY",0.12
"MX",0.12
"ES",0.11
"AT",0.11
"GB",0.11
"LR",0.11
"TH",0.11
"CL",0.11
"PT",0.11
"PL",0.1
"KE",0.1
"IT",0.1
"CH",0.1
"EC",0.1
"GT",0.1
"UG",0.1
"CZ",0.1
"CA",0.09
"FR",0.08
"GH",0.08
"PK",0.08
"TW",0.08
"PH",0.08
"AU",0.08
"SL",0.08
"IE",0.07
"DE",0.07
"SG",0.06
"BR",0.06
"NL",0.06
"CD",0.06
"NZ",0.06
"ZA",0.05
"BE",0.05
"KR",0.05
"JP",0.04
"Total",0.12
,
"Applied filters:
Qnum is 28
ResponseOptions is Employees of your organization are well trained for the devices and software they use
Status is Complete",
